# time = 5hr, gpu = 1
cuda
torch.Size([5400, 3, 128, 128])
4320
1080
Epoch [151/2000], Loss: 1107.1970
Epoch [152/2000], Loss: 1106.5110
Epoch [153/2000], Loss: 1106.7625
Epoch [154/2000], Loss: 1105.7811
Epoch [155/2000], Loss: 1106.1032
Epoch [156/2000], Loss: 1104.2184
Epoch [157/2000], Loss: 1104.2553
Epoch [158/2000], Loss: 1103.4204
Epoch [159/2000], Loss: 1104.3016
Epoch [160/2000], Loss: 1103.8425
Epoch [161/2000], Loss: 1103.5090
Epoch [162/2000], Loss: 1102.8488
Epoch [163/2000], Loss: 1102.4562
Epoch [164/2000], Loss: 1103.0138
Epoch [165/2000], Loss: 1102.7092
Epoch [166/2000], Loss: 1100.4861
Epoch [167/2000], Loss: 1098.2843
Epoch [168/2000], Loss: 1098.1210
Epoch [169/2000], Loss: 1100.8006
Epoch [170/2000], Loss: 1099.0797
Epoch [171/2000], Loss: 1098.6069
Epoch [172/2000], Loss: 1098.0891
Epoch [173/2000], Loss: 1098.2345
Epoch [174/2000], Loss: 1098.4708
Epoch [175/2000], Loss: 1096.0254
Epoch [176/2000], Loss: 1094.6048
Epoch [177/2000], Loss: 1095.3175
Epoch [178/2000], Loss: 1096.1429
Epoch [179/2000], Loss: 1095.6464
Epoch [180/2000], Loss: 1095.3264
Epoch [181/2000], Loss: 1095.0057
Epoch [182/2000], Loss: 1095.0688
Epoch [183/2000], Loss: 1095.0676
Epoch [184/2000], Loss: 1095.2544
Epoch [185/2000], Loss: 1094.1845
Epoch [186/2000], Loss: 1093.9458
Epoch [187/2000], Loss: 1092.6253
Epoch [188/2000], Loss: 1091.0521
Epoch [189/2000], Loss: 1091.1895
Epoch [190/2000], Loss: 1092.1636
Epoch [191/2000], Loss: 1090.9693
Epoch [192/2000], Loss: 1091.1880
Epoch [193/2000], Loss: 1091.1629
Epoch [194/2000], Loss: 1091.5703
Epoch [195/2000], Loss: 1091.7698
Epoch [196/2000], Loss: 1089.6464
Epoch [197/2000], Loss: 1087.7583
Epoch [198/2000], Loss: 1087.5952
Epoch [199/2000], Loss: 1087.8760
Epoch [200/2000], Loss: 1088.5824
Epoch [201/2000], Loss: 1087.7207
Epoch [202/2000], Loss: 1089.0743
Epoch [203/2000], Loss: 1089.0596
Epoch [204/2000], Loss: 1087.4679
Epoch [205/2000], Loss: 1086.5250
Epoch [206/2000], Loss: 1086.7931
Epoch [207/2000], Loss: 1086.7572
Epoch [208/2000], Loss: 1086.5856
Epoch [209/2000], Loss: 1086.4266
Epoch [210/2000], Loss: 1085.1558
Epoch [211/2000], Loss: 1086.3775
Epoch [212/2000], Loss: 1085.2035
Epoch [213/2000], Loss: 1085.9976
Epoch [214/2000], Loss: 1084.3993
Epoch [215/2000], Loss: 1085.4564
Epoch [216/2000], Loss: 1084.3923
Epoch [217/2000], Loss: 1083.2275
Epoch [218/2000], Loss: 1082.9027
Epoch [219/2000], Loss: 1084.5475
Epoch [220/2000], Loss: 1082.5660
Epoch [221/2000], Loss: 1082.0276
Epoch [222/2000], Loss: 1082.0511
Epoch [223/2000], Loss: 1081.0130
Epoch [224/2000], Loss: 1080.1072
Epoch [225/2000], Loss: 1079.8106
Epoch [226/2000], Loss: 1080.7271
Epoch [227/2000], Loss: 1081.1981
Epoch [228/2000], Loss: 1081.8538
Epoch [229/2000], Loss: 1080.8491
Epoch [230/2000], Loss: 1082.3335
Epoch [231/2000], Loss: 1081.9780
Epoch [232/2000], Loss: 1081.4497
Epoch [233/2000], Loss: 1079.9830
